"",timestamps_ns,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.gpsNum,OSD.gpsLevel,OSD.voltageWarning,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.wheelOffset,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.maxCellVoltageDeviation,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.timesCharged,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.goHomeHeight [ft],HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],ISO8601 Timestamp
0,1719704643.1699998,0.0,37.6206643298481,-122.496190328209,0.0,0.0,0.3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,9.2,-65.0,295.0,,11,4,0,0.0,0.0,-87.5,272.5,,,1024,1024,1024,1024,0,59,7.624,2257,3844,7.624,3.812,3.812,,0.935,81.5,81.5,81.5,2,,,,,,,,,,,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.000Z
1,1719704643.2700002,0.1,37.6206643279046,-122.496190343422,0.0,0.0,0.3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,9.2,-65.0,295.0,,11,4,0,0.0,0.0,-87.5,272.5,,,1024,1024,1024,1024,0,59,7.624,2257,3844,7.624,3.812,3.812,,0.935,81.5,81.5,81.5,2,,,,,,,,,,,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.100Z
2,1719704643.37,0.2,37.6206643304363,-122.496190523237,0.0,0.0,0.3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,9.2,-64.9,295.1,,11,4,0,0.0,0.0,-87.5,272.5,,,1024,1024,1024,1024,0,59,7.624,2257,3844,7.624,3.812,3.812,,0.935,81.5,81.5,81.5,2,,,,,,,,,,,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.200Z
3,1719704643.47,0.3,37.6206643308352,-122.49619053023,0.0,0.0,0.3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.2,-64.9,295.1,,11,4,0,0.0,0.0,-87.5,272.5,,,1024,1024,1024,1024,0,59,7.624,2257,3844,7.624,3.812,3.812,,0.935,81.5,81.5,81.5,2,,,,,,,,,,,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.300Z
4,1719704643.5900002,0.4,37.6206643387221,-122.4961905273,0.0,0.0,0.3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.6,295.4,,11,4,0,0.0,0.0,-87.5,272.5,,,1024,1024,1024,1024,0,59,7.624,2257,3844,7.624,3.812,3.812,,0.935,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.400Z
5,1719704643.6899998,0.5,37.6206643497539,-122.496190542233,0.0,0.0,0.3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.8,295.2,,11,4,0,0.0,0.0,-87.5,272.5,,,1024,1024,1024,1024,0,59,7.624,2257,3844,7.624,3.812,3.812,,0.935,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.500Z
6,1719704643.7900002,0.6,37.6206643311456,-122.496190633581,0.0,0.0,0.3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,,,1024,1024,1024,1024,0,59,7.624,2257,3844,7.624,3.812,3.812,,0.935,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.600Z
7,1719704643.8899999,0.7,37.620664331707,-122.49619065299,0.0,0.0,0.3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,100.0,,1024,1024,1024,1024,0,59,7.624,2257,3844,7.624,3.812,3.812,,0.935,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.700Z
8,1719704643.9699998,0.8,37.6206643366144,-122.496190619954,0.0,0.0,0.3,35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,100.0,,1024,1024,1024,1024,0,59,7.624,2257,3844,7.624,3.812,3.812,,0.935,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.800Z
9,1719704644.0700002,0.9,37.6206643500542,-122.496190598005,0.0,0.0,0.3,35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,100.0,100.0,1024,1024,1024,1024,0,59,7.596,2256,3844,7.596,3.798,3.799,0.001,2.312,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:00.900Z
10,1719704644.19,1.0,37.6206643439132,-122.496190512323,0.0,0.0,0.3,35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,100.0,100.0,1024,1024,1024,1024,0,59,7.596,2256,3844,7.596,3.798,3.799,0.001,2.312,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:01.000Z
11,1719704644.3,1.1,37.6206643404877,-122.496190492697,0.0,0.0,0.3,35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,100.0,100.0,1024,1024,1024,1024,0,59,7.596,2256,3844,7.596,3.798,3.799,0.001,2.312,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:01.100Z
12,1719704644.37,1.2,37.6206643186336,-122.49619062436,0.0,0.0,0.3,35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,100.0,100.0,1024,1024,1024,1024,0,59,7.596,2256,3844,7.596,3.798,3.799,0.001,2.312,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:01.200Z
13,1719704644.47,1.3,37.6206642945416,-122.496190664183,0.0,0.0,0.3,35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,100.0,100.0,1024,1024,1024,1024,0,59,7.596,2256,3844,7.596,3.798,3.799,0.001,2.312,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:01.300Z
14,1719704644.6,1.4,37.620664323129,-122.496190636946,0.0,0.0,0.3,35,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,100.0,100.0,1024,1024,1024,1024,0,59,7.596,2256,3844,7.596,3.798,3.799,0.001,2.312,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:01.400Z
15,1719704644.7,1.5,37.6206643154412,-122.496190653488,0.0,0.0,0.3,35,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,9.1,-64.7,295.3,,11,4,0,0.0,0.0,-87.5,272.5,100.0,100.0,1024,1024,1024,1024,0,59,7.596,2256,3844,7.596,3.798,3.799,0.001,2.312,81.5,81.5,81.5,2,37.6206636093333,-122.49618998949,0.3,47.9,393.7,1.0,1.0,328.0,16.4,16.0,,,327.2,4.9,200.1,26.802343,10.961006,0,65422,2024-06-29T12:00:01.500Z
